 519066.00	0.00	SOA
 519622.76	0.67	grn non
 519706.49	0.56	grn non
 519961.49	1.52	rum non
 520845.71	1.34	grn unf
 521635.85	0.48	oth non
 521661.98	0.49	oth non
 523222.29	1.42	oth unf
 525085.17	1.92	unk
 528015.18	0.86	grn non
 528370.20	0.27	oth non
 528877.56	0.43	whp non
 528880.97	1.19	whp non
 528884.49	1.43	whp non
 528888.14	1.48	whp non
 528891.98	1.21	whp non
 528895.18	1.68	whp non
 528898.98	1.52	whp non
 528903.00	1.48	whp non
 528911.59	1.95	whp non
 528917.76	1.03	whp non
 530055.68	0.94	whp non
 530059.81	1.58	whp non
 530064.44	1.72	whp non
 530069.27	1.90	whp non
 530074.18	2.06	whp non
 530079.59	2.08	whp non
 530084.47	2.20	whp non
 530090.25	2.10	whp non
 530096.10	2.37	whp non
 530102.09	2.31	whp non
 530129.20	1.42	grn non
 530133.47	2.22	grn non
 530564.80	0.59	whp non
 530567.91	1.70	whp non
 530573.05	1.46	whp non
 530578.24	1.33	whp non
 530583.25	1.74	whp non
 530588.56	1.91	whp non
 530594.25	1.65	whp non
 530599.93	2.00	whp non
 530606.25	2.06	whp non
 530612.09	2.16	whp non
 530618.41	2.53	whp non
 530626.11	2.81	whp non
 530633.32	2.17	whp non
 530751.61	0.40	unk
 531003.60	0.89	oth non
 531118.17	1.10	whp non
 531124.51	1.26	whp non
 531129.49	1.72	whp non
 531134.51	1.81	whp non
 531139.55	2.01	whp non
 531145.36	2.10	whp non
 531150.65	2.32	whp non
 531156.10	2.32	whp non
 531161.68	2.43	whp non
 531169.35	3.04	whp non
 531177.58	1.81	whp non
 531182.27	2.00	whp non
 531189.36	1.94	whp non
 531667.09	1.58	whp non
 531671.86	1.68	whp non
 531677.19	1.92	whp non
 531714.33	1.65	grn non
 531968.43	3.22	str cub non
 531970.21	1.44	gig non
 531971.74	0.87	sql non
 531973.11	1.78	sql non
 531973.29	0.40	gig non
 531974.22	5.22	gig non
 531975.28	1.64	sql non
 531977.82	0.81	sql non
 531978.75	0.31	sql non
 531979.86	1.98	gig non
 531981.83	0.51	oth non
 531983.03	0.74	oth non
 531984.92	0.57	whp ? non
 531986.45	0.86	whp non
 531988.36	0.69	whp ? non
 531990.42	0.72	whp non
 531992.37	0.91	whp non
 531994.66	1.05	whp non
 531996.82	1.05	whp non
 531999.18	1.15	whp non
 532002.42	1.60	grn non
 532006.21	1.50	grn non
 532010.05	2.22	grn non
 532014.31	1.82	whp non
 532022.41	4.36	gig non
 532027.36	0.63	whp ? non
 532028.50	0.69	whp non
 532030.11	0.73	whp non
 532031.99	0.88	whp non
 532033.97	0.89	whp non
 532036.18	1.04	whp ? non
 532038.67	0.18	oth non
 538369.53	0.73	oth non
 541728.29	0.37	oth non
 541954.04	1.15	grn non
 541958.72	0.45	oth non
 541959.16	0.37	oth non
 541960.22	0.36	oth non
 541960.77	3.87	sql non
 541962.81	1.92	gwl foc
 541964.59	5.42	gig non
 541964.93	0.49	grn ? unf
 541965.42	1.41	sql non
 541966.04	0.79	gwl foc
 541967.24	0.70	sql non
 541970.33	0.72	gig unf
 541971.90	2.16	gig unf
 541972.50	1.57	gig non
 541973.52	0.53	whp non
 541974.84	0.55	whp ? non
 541976.44	0.87	whp non
 541979.18	0.49	str cub non
 541979.43	0.82	whp non
 541981.74	0.77	whp non
 541984.17	0.87	whp non
 541986.85	0.92	whp non
 541989.35	1.06	whp non
 541992.72	1.00	whp non
 541995.74	1.22	whp non
 541999.79	1.25	whp non
 542018.79	0.33	oth non
 542021.76	0.68	oth non
 542023.50	0.77	sql non
 542027.16	1.84	gig non
 542032.18	0.18	oth non
 542032.67	0.75	sql ? non
 542033.61	1.13	oth non
 542035.71	1.07	sql ? non
 542037.12	0.79	unk
 542038.65	0.85	sql ? non
 542064.77	0.46	gig non
 542066.90	0.78	oth non
 542080.37	0.96	oth non
 542082.49	0.46	oth non
 542082.95	1.07	oth non
 542085.22	0.92	sql non
 542086.14	0.69	gig non
 542087.30	0.29	oth non
 542091.29	1.06	grn non
 542093.63	0.33	oth non
 542120.09	0.93	oth non
 542121.69	0.59	oth non
 542134.87	0.79	oth non
 542135.88	0.99	str ? cub non
 542139.21	0.72	grn non
 542195.11	0.35	oth non
 542202.32	0.45	oth non
 542209.67	0.41	oth non
 542211.57	0.69	sql non
 542212.67	0.62	oth non
 542213.51	0.19	oth non
 542213.69	0.52	oth non
 542218.61	0.41	oth non
 542226.57	0.42	oth non
 542230.82	0.27	oth non
 542233.69	0.57	oth non
 542239.41	0.89	gig non
 542240.59	0.63	oth non
 542241.84	1.06	oth non
 542246.12	0.29	oth non
 542247.13	0.28	oth non
 542247.98	0.60	oth non
 542249.17	0.55	oth non
 542273.51	0.67	gig non
 542277.21	1.07	oth non
 542279.34	0.45	unk
